cultivar,planting_date (:Date),measuring_date (:Date),plant_height (cm),bulb_diameter (mm),bulb_height (cm),bulb_fresh_weight (g),bulb_dry_weight (g),stem_diameter (mm),stem_fresh_weight (g),stem_dry_weight (g),root_length (cm),root_fresh_weight (g),root_dry_weight (g),scape_length (cm),scape_diameter (mm),scape_fresh_weight (g),scape_dry_weight (g),leaf_count,leaf_area (cm^2),leaf_fresh_weight (g),leaf_dry_weight (g),bulb_clove_count
ND,2014-10-08,2015-01-16,61.4,17.8,,,,14.2,12.71,1.51,15.8,3.84,0.56,,,,,8,196.682,11.88,1.77,0
ND,2014-10-08,2015-01-16,53.6,22.1,,,,17.2,13.38,1.72,13.1,2.91,0.43,,,,,8,247.098,13.99,2.03,0
ND,2014-10-08,2015-01-16,58.2,18.8,,,,13.8,15.82,2.02,12.3,3.67,0.63,,,,,7,158.563,10,1.5,0
ND,2014-10-08,2015-01-16,60.2,19,,,,15.5,13.45,1.73,16,3.23,0.5,,,,,7,207.213,12.71,1.85,0
ND,2014-10-08,2015-01-16,56.1,19.9,,,,14.2,11.5,1.62,19.9,4.07,0.68,,,,,8,166.92,9.98,1.53,0
ND,2014-10-08,2015-01-16,63.3,24.9,,,,19.8,25.43,3.35,9.9,3.96,0.57,,,,,9,258.263,14.53,2.22,0
ND,2014-10-08,2015-01-16,62.6,21.2,,,,17.5,18.12,2.2,10.3,3.7,0.59,,,,,8,276.478,16.79,2.41,0
ND,2014-10-08,2015-01-16,57.5,19.7,,,,15.7,13.23,1.8,12.1,3.4,0.55,,,,,6,188.984,10.87,1.62,0
ND,2014-10-08,2015-01-16,59.5,22.3,,,,17,16.16,2.16,10.4,2.85,0.47,,,,,8,235.484,14.12,2.07,0
ND,2014-10-08,2015-01-16,59.2,17.6,,,,13.4,11.5,1.36,14.8,3.57,0.5,,,,,8,164.804,9.87,1.46,0
ND,2014-10-08,2015-01-23,64.4,24.2,,,,19,22.54,2.83,13.4,4.27,0.57,,,,,8,274.265,19.14,2.85,0
ND,2014-10-08,2015-01-23,59.4,19.2,,,,14.8,15.45,2.14,14,3.5,0.59,,,,,6,160.484,8.66,1.54,0
ND,2014-10-08,2015-01-23,57.4,20.4,,,,12.9,15.79,2.23,12.3,3.51,0.68,,,,,7,139.294,7.98,1.53,0
ND,2014-10-08,2015-01-23,67.8,23.9,,,,19.3,23.3,3.01,13.7,4.71,0.64,,,,,7,262.108,15.9,2.67,0
ND,2014-10-08,2015-01-23,45.6,18.5,,,,13.1,11.05,1.49,12.8,2.84,0.44,,,,,7,108.174,7.55,1.28,0
ND,2014-10-08,2015-01-23,64.5,20.7,,,,16.2,18.29,2.21,13,3.68,0.54,,,,,6,234.4,15.4,2.26,0
ND,2014-10-08,2015-01-23,54.4,23,,,,16.1,16.45,2.34,10.8,5.3,1.21,,,,,8,188.754,11.45,1.85,0
ND,2014-10-08,2015-01-23,63.4,22.3,,,,17.9,21.37,2.6,10,4.05,0.62,,,,,6,246.708,15.99,2.26,0
ND,2014-10-08,2015-01-23,61,23.8,,,,16.7,18.88,2.63,10.4,3.52,0.49,,,,,6,206.428,11.59,1.8,0
ND,2014-10-08,2015-01-23,63.8,21.7,,,,17,20.12,2.35,15.3,4.75,0.75,,,,,8,265.698,18.77,2.62,0
ND,2014-10-08,2015-01-30,69.1,24.4,,,,18.4,23.16,2.46,13.6,3.02,0.41,,,,,7,248.098,17.96,2.36,0
ND,2014-10-08,2015-01-30,55.2,22.3,,,,15.6,17.16,2.13,13,3.57,0.58,,,,,7,192.043,11.58,1.69,0
ND,2014-10-08,2015-01-30,58.7,19.1,,,,15.7,16.25,1.91,11.1,2.77,0.41,,,,,7,180.779,10.55,1.5,0
ND,2014-10-08,2015-01-30,66,13,,,,17.4,22.37,2.99,16.4,4.11,0.83,,,,,9,222.498,14.76,2.06,0
ND,2014-10-08,2015-01-30,60.9,22.1,,,,16.9,20.12,2.45,14.3,4.92,0.76,,,,,7,238.094,15.55,2.12,0
ND,2014-10-08,2015-01-30,59.2,19.9,,,,14.9,16,2.06,12.4,3.01,0.74,,,,,7,183.658,11.43,1.65,0
ND,2014-10-08,2015-01-30,66.8,24.6,,,,17.9,23.31,2.79,10.4,3.87,0.91,,,,,8,249.214,14.84,2.2,0
ND,2014-10-08,2015-01-30,67.1,27.1,,,,20.5,26.53,3.05,12.4,4.91,0.62,,,,,9,342.358,24.59,3.07,0
ND,2014-10-08,2015-01-30,60.3,22.5,,,,16.6,18.96,2.54,12.8,4.58,0.67,,,,,9,234.428,15.28,2.18,0
ND,2014-10-08,2015-01-30,66.2,24,,,,17.6,25.94,3.04,13.2,4.3,0.62,,,,,8,269.528,20.11,2.73,0
ND,2014-10-08,2015-02-06,63.9,23,,,,17.5,19.7,2.46,11.4,3.42,0.72,,,,,8,236.104,15.68,2.44,0
ND,2014-10-08,2015-02-06,56.9,25.3,,,,16.9,19.13,3.15,11.1,3.21,0.48,,,,,9,213.243,14.2,2.48,0
ND,2014-10-08,2015-02-06,65.8,20.4,,,,15.2,17.07,2.64,15.2,5.01,0.69,,,,,9,199.187,11.86,2.07,0
ND,2014-10-08,2015-02-06,67,21.8,,,,16.4,20.82,2.74,10,2.42,0.33,,,,,7,212.238,13.92,2.29,0
ND,2014-10-08,2015-02-06,65.3,23.4,,,,17.5,13.27,3.1,11.2,5.66,0.76,,,,,8,233.598,15.25,2.38,0
ND,2014-10-08,2015-02-06,59.6,26.5,,,,20.3,30.46,3.56,13.4,5.47,0.8,,,,,8,253.444,18.64,2.85,0
ND,2014-10-08,2015-02-06,57,19.9,,,,14.1,15.7,1.97,9,2.68,0.53,,,,,8,164.667,10.02,1.61,0
ND,2014-10-08,2015-02-06,55,25.5,,,,14.6,18.23,2.84,11.9,3.57,0.56,,,,,10,176.178,10.12,1.93,0
ND,2014-10-08,2015-02-06,62.1,24,,,,17.1,22.81,3.03,13.4,4.3,0.59,,,,,8,220.713,14.68,2.27,0
